experiment	checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
tf_train_base_new_try_roll_test_predict_time	20260720	20260721	20260724	buy	0.835069	0.698900	0.694000	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608130236
tf_train_base_new_try_roll_test_predict_time	20260720	20260721	20260724	cat	0.833968	0.702400	0.697300	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608130236
tf_train_base_new_try_roll_test_predict_time	20260720	20260721	20260724	click	0.802264	0.697900	0.695700	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608130236
tf_train_base_new_try_roll_test_predict_time	20260720	20260721	20260724	ext	0.864008	0.811400	0.810800	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608130236
tf_train_base_new_try_roll_test_predict_time	20260724	20260725	20260725	buy	0.832836	0.701300	0.695700	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608130431
tf_train_base_new_try_roll_test_predict_time	20260724	20260725	20260725	cat	0.832524	0.704900	0.698700	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608130431
tf_train_base_new_try_roll_test_predict_time	20260724	20260725	20260725	click	0.804794	0.699200	0.696600	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608130431
tf_train_base_new_try_roll_test_predict_time	20260724	20260725	20260725	ext	0.859802	0.805700	0.806300	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608130431
tf_train_base_new_try_roll_test_predict_time	20260725	20260726	20260726	buy	0.836118	0.715500	0.709500	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608130511
tf_train_base_new_try_roll_test_predict_time	20260725	20260726	20260726	cat	0.835471	0.718600	0.712400	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608130511
tf_train_base_new_try_roll_test_predict_time	20260725	20260726	20260726	click	0.805168	0.709700	0.706900	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608130511
tf_train_base_new_try_roll_test_predict_time	20260725	20260726	20260726	ext	0.855698	0.803500	0.800800	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608130511
tf_train_base_new_try_roll_test_predict_time	20260726	20260727	20260727	buy	0.839539	0.705700	0.698100	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608130551
tf_train_base_new_try_roll_test_predict_time	20260726	20260727	20260727	cat	0.838240	0.708400	0.701200	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608130551
tf_train_base_new_try_roll_test_predict_time	20260726	20260727	20260727	click	0.803290	0.697100	0.694300	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608130551
tf_train_base_new_try_roll_test_predict_time	20260726	20260727	20260727	ext	0.859491	0.811000	0.811200	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608130551
tf_train_base_new_try_roll_test_predict_time	20260727	20260728	20260728	buy	0.840162	0.703000	0.696200	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608130619
tf_train_base_new_try_roll_test_predict_time	20260727	20260728	20260728	cat	0.838793	0.706600	0.699200	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608130619
tf_train_base_new_try_roll_test_predict_time	20260727	20260728	20260728	click	0.803893	0.700000	0.696600	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608130619
tf_train_base_new_try_roll_test_predict_time	20260727	20260728	20260728	ext	0.865000	0.824100	0.824500	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608130619
tf_train_base_new_try_roll_test_predict_time	20260728	20260729	20260729	buy	0.838792	0.703600	0.697900	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608130645
tf_train_base_new_try_roll_test_predict_time	20260728	20260729	20260729	cat	0.837613	0.707300	0.701500	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608130645
tf_train_base_new_try_roll_test_predict_time	20260728	20260729	20260729	click	0.805116	0.703400	0.699800	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608130645
tf_train_base_new_try_roll_test_predict_time	20260728	20260729	20260729	ext	0.856610	0.812700	0.812600	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608130645
tf_train_base_new_try_roll_test_predict_time	20260729	20260730	20260730	buy	0.838903	0.703900	0.697800	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608130714
tf_train_base_new_try_roll_test_predict_time	20260729	20260730	20260730	cat	0.837910	0.708100	0.701500	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608130714
tf_train_base_new_try_roll_test_predict_time	20260729	20260730	20260730	click	0.805169	0.703200	0.699700	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608130714
tf_train_base_new_try_roll_test_predict_time	20260729	20260730	20260730	ext	0.862085	0.805500	0.805900	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608130714
tf_train_base_new_try_roll_test_predict_time	20260730	20260731	20260731	buy	0.839150	0.707600	0.701700	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608130743
tf_train_base_new_try_roll_test_predict_time	20260730	20260731	20260731	cat	0.838000	0.711300	0.705100	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608130743
tf_train_base_new_try_roll_test_predict_time	20260730	20260731	20260731	click	0.806877	0.706200	0.703100	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608130743
tf_train_base_new_try_roll_test_predict_time	20260730	20260731	20260731	ext	0.858310	0.814400	0.813200	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608130743
tf_train_base_new_try_roll_test_predict_time	20260731	20260801	20260801	buy	0.833267	0.703800	0.696100	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608130820
tf_train_base_new_try_roll_test_predict_time	20260731	20260801	20260801	cat	0.832661	0.706100	0.698400	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608130820
tf_train_base_new_try_roll_test_predict_time	20260731	20260801	20260801	click	0.804448	0.702000	0.697800	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608130820
tf_train_base_new_try_roll_test_predict_time	20260731	20260801	20260801	ext	0.856796	0.813400	0.811400	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608130820
BR_train_buy_click_conditional_loss_cat	20260720	20260721	20260724	buy	0.835016	0.698400	0.693300	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608181955
BR_train_buy_click_conditional_loss_cat	20260720	20260721	20260724	cat	0.833975	0.702100	0.696900	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608181955
BR_train_buy_click_conditional_loss_cat	20260720	20260721	20260724	click	0.802439	0.698900	0.696300	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608181955
BR_train_buy_click_conditional_loss_cat	20260720	20260721	20260724	ext	0.864391	0.812400	0.811300	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608181955
BR_train_buy_click_conditional_loss_cat	20260724	20260725	20260725	buy	0.832663	0.700800	0.694600	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608182153
BR_train_buy_click_conditional_loss_cat	20260724	20260725	20260725	cat	0.832355	0.705200	0.698600	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608182153
BR_train_buy_click_conditional_loss_cat	20260724	20260725	20260725	click	0.804661	0.700400	0.697900	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608182153
BR_train_buy_click_conditional_loss_cat	20260724	20260725	20260725	ext	0.859885	0.805100	0.804700	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608182153
BR_train_buy_click_conditional_loss_cat	20260725	20260726	20260726	buy	0.836412	0.716300	0.710600	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608182233
BR_train_buy_click_conditional_loss_cat	20260725	20260726	20260726	cat	0.835777	0.718700	0.712900	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608182233
BR_train_buy_click_conditional_loss_cat	20260725	20260726	20260726	click	0.805705	0.709500	0.706800	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608182233
BR_train_buy_click_conditional_loss_cat	20260725	20260726	20260726	ext	0.855373	0.795800	0.790800	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608182233
BR_train_buy_click_conditional_loss_cat	20260726	20260727	20260727	buy	0.838792	0.706600	0.699100	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608182315
BR_train_buy_click_conditional_loss_cat	20260726	20260727	20260727	cat	0.837606	0.709300	0.702100	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608182315
BR_train_buy_click_conditional_loss_cat	20260726	20260727	20260727	click	0.802934	0.698200	0.695400	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608182315
BR_train_buy_click_conditional_loss_cat	20260726	20260727	20260727	ext	0.860357	0.819900	0.818800	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608182315
BR_train_buy_click_conditional_loss_cat	20260727	20260728	20260728	buy	0.840320	0.704000	0.697000	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608182343
BR_train_buy_click_conditional_loss_cat	20260727	20260728	20260728	cat	0.839002	0.707200	0.699800	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608182343
BR_train_buy_click_conditional_loss_cat	20260727	20260728	20260728	click	0.804286	0.700400	0.697000	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608182343
BR_train_buy_click_conditional_loss_cat	20260727	20260728	20260728	ext	0.865129	0.824900	0.825100	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608182343
BR_train_buy_click_conditional_loss_cat	20260728	20260729	20260729	buy	0.839236	0.704700	0.699600	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608190009
BR_train_buy_click_conditional_loss_cat	20260728	20260729	20260729	cat	0.838154	0.708600	0.703100	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608190009
BR_train_buy_click_conditional_loss_cat	20260728	20260729	20260729	click	0.805701	0.705400	0.702200	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608190009
BR_train_buy_click_conditional_loss_cat	20260728	20260729	20260729	ext	0.856296	0.816100	0.815400	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608190009
BR_train_buy_click_conditional_loss_cat	20260729	20260730	20260730	buy	0.838706	0.705300	0.699000	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608190039
BR_train_buy_click_conditional_loss_cat	20260729	20260730	20260730	cat	0.837671	0.709500	0.702900	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608190039
BR_train_buy_click_conditional_loss_cat	20260729	20260730	20260730	click	0.805389	0.703500	0.699900	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608190039
BR_train_buy_click_conditional_loss_cat	20260729	20260730	20260730	ext	0.861650	0.807200	0.807200	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608190039
BR_train_buy_click_conditional_loss_cat	20260730	20260731	20260731	buy	0.839611	0.709400	0.703600	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608190110
BR_train_buy_click_conditional_loss_cat	20260730	20260731	20260731	cat	0.838562	0.712400	0.706500	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608190110
BR_train_buy_click_conditional_loss_cat	20260730	20260731	20260731	click	0.807346	0.708000	0.704800	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608190110
BR_train_buy_click_conditional_loss_cat	20260730	20260731	20260731	ext	0.859255	0.819100	0.817400	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608190110
BR_train_buy_click_conditional_loss_cat	20260731	20260801	20260801	buy	0.833402	0.703100	0.695700	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608190148
BR_train_buy_click_conditional_loss_cat	20260731	20260801	20260801	cat	0.832735	0.706200	0.698700	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608190148
BR_train_buy_click_conditional_loss_cat	20260731	20260801	20260801	click	0.804640	0.702400	0.698300	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608190148
BR_train_buy_click_conditional_loss_cat	20260731	20260801	20260801	ext	0.857443	0.813300	0.811100	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608190148
BR_train_buy_gradient_conflict_diagnosis	20260720	20260721	20260724	buy	0.834769	0.699100	0.694100	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608190013
BR_train_buy_gradient_conflict_diagnosis	20260720	20260721	20260724	cat	0.833705	0.702500	0.697500	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608190013
BR_train_buy_gradient_conflict_diagnosis	20260720	20260721	20260724	click	0.801901	0.697800	0.695400	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608190013
BR_train_buy_gradient_conflict_diagnosis	20260720	20260721	20260724	ext	0.863632	0.808800	0.808100	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608190013
BR_train_buy_gradient_conflict_diagnosis	20260724	20260725	20260725	buy	0.833737	0.701800	0.695800	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608190215
BR_train_buy_gradient_conflict_diagnosis	20260724	20260725	20260725	cat	0.833338	0.705700	0.699300	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608190215
BR_train_buy_gradient_conflict_diagnosis	20260724	20260725	20260725	click	0.805316	0.700000	0.697600	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608190215
BR_train_buy_gradient_conflict_diagnosis	20260724	20260725	20260725	ext	0.859669	0.804800	0.802500	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608190215
